,time,text,images,video
0,2021-04-19 15:02:00,"Sometimes I'm up, sometimes I'm down. Everything was going so well but I had to wreck it, because I don't understand easy. I wrecked it now I'm here again at the beginning. I cry a lot because I know there are people dealing with worse. I'll survive, but a lot won't. We need to come together and help everyone. Especially the ones that are struggling. It's up to us to make a difference. It's not about skin color or religion. It's about loving one another. We are all in this together. Let's make this monumental. I support this movement. Back me and smile",None,None
1,2021-04-18 01:41:00,I think my dogs are broken,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/175365858_4444215465592017_6900407388075593433_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=_SMyjRrVKlYAX-TJEW8&_nc_ht=scontent-lga3-1.xx&tp=14&oh=c2d31e9b4b4a4f9bd18e484ce0080166&oe=60B244A0&manual_redirect=1'],None
2,2021-04-16 17:12:00,Damn. I used to be smart,None,None
3,2021-04-16 11:27:00,"Chihuahuas should not be a breed. Everyone freaks out about pitbulls, but I've never been bitten by a pit. I've been bitten too many times by small breeds. Especially chihuahuas. They are lil ass hole instigators that couldn't hurt themselves. Let alone anyone else. If you see my pitbulls walking, put your lil one away. If it acts up, so will mine...",None,None
4,2021-04-16 10:58:00,"Nothing brings me more joy than watching my pitbulls play together. They have such an amazing relationship and Respect for each other. Sometimes they play fight, sometimes they're both on their backs just loving on each other. I wish humans could do the same.",None,None
5,2021-04-15 20:31:00,"So, I've had this school boy crush on this girl since the car wash and train trussle. I'm not what she deserves but I'm trying to be something. Even if she never talks to me again, at least I'll know I was a part. Baby. Please don't make me keep searching for you, when I know exactly where you are. You will always be my dream girl. Can we just skip all the formalities?",None,None
6,2021-04-15 00:31:00,How is Facebook still alive when we have Til Tok? Asking for a friend,None,None
7,2021-04-14 12:28:00,"I need one

M.TIKTOK.COM
ピザトル🐵PIZZATORU🍕 on TikTok",None,None
8,2021-04-13 11:37:00,"Love this classic. So did Mom

YOUTUBE.COM
Stevie Wonder I Just Called To Say I Love You",None,None
9,2021-04-11 16:02:00,Four rings. Size 5 From Jeulia and Vancaro. Over $500 invested. Never worn. Will sell for $300,None,None
10,2021-04-11 05:32:00,"Guess I'm officially old, or bored. 90% of my messages are from Amazon. ""Your package has been shipped. Your package was delivered""",None,None
11,2021-04-10 11:03:00,"Sometimes, our judgement of people is just way off. Good luck chick. You're blocked",None,None
12,2021-04-10 07:46:00,interesting,None,None
13,2021-04-10 05:24:00,"So, Angel may be pregnant again. If so I'll be looking for homes for some full blooded pitties in the near future. PM me for reservations",None,None
14,2021-04-04 07:25:00,"Vacation is supposed to be about rest and relaxation. It's not tho. You have to worry about where, when, why. It's all about the family. Best of luck to you Mr Matt Butter Barlow try to sleep a lil",None,None
15,2021-04-03 22:38:00,Downtown Lafayette,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/168465086_4397660916914139_964329270698928783_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=d8C2eVWVfSEAX_ph7W4&_nc_ht=scontent-lga3-1.xx&tp=14&oh=b89a1e8a514d25a0a4e6381dc1e18ff0&oe=60AF4B69&manual_redirect=1'],None
16,2021-04-03 06:11:00,Pitbull life. Three dogs one recliner,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/168215226_4395276147152616_9216671982454536991_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=5WASk7bSQMcAX_rxSVj&_nc_ht=scontent-lga3-1.xx&tp=14&oh=ba341c4bedeb1993fb974aedcaecc799&oe=60B11C81&manual_redirect=1'],None
17,2021-04-03 05:56:00,This dude...,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/168265174_4395248380488726_5620592476710240736_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=frx_Oe8mAfgAX-CdwHv&_nc_ht=scontent-lga3-1.xx&tp=14&oh=4ca7d1657fd26707bb1f5c97ca6813ee&oe=60B11018&manual_redirect=1'],None
18,2021-04-02 21:04:00,"Feisty Soul Tribe
Poster based in Australia
· April 2 at 7:22 PM ·

😍",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167970999_759249314791826_8705633301027270300_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=60CzkSP5x_oAX9U1hK4&_nc_oc=AQn_ZyFtH5H0IomDfrXQSSUi1OiD-\\-\\xHcKY03E1SpquhLUqgY4eUUCLbdaZugLha1Uw&_nc_ht=scontent-lga3-1.xx&tp=14&oh=06d38e623f539dd9846d5dbf8d4419a8&oe=60B23328'],None
19,2021-04-02 19:23:00,So I switched dog foods. Outlaw has the worst smelling farts ever! He keeps crop dusting me and doing drive by's. It's terrible...,None,None
20,2021-04-02 15:50:00,"Brent Webb posted in Enlightened Consciousness — with Joan Buffalo.
April 1 at 1:23 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167923755_3904110506298830_2560742252576534568_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=ca434c&efg=eyJpIjoidCJ9&_nc_ohc=KSvvoUIcoFYAX9NSOz-&_nc_ht=scontent-lga3-1.xx&tp=14&oh=c1ab4a6abd8e081d17c2a64bdc14d194&oe=60AF5B11&manual_redirect=1'],None
21,2021-04-02 00:00:00,None,None,None
22,2021-04-01 03:45:00,"I just want a woman that's willing to put in the same effort I do. I know that's probably too much to ask in this day and age, but a boy can still dream. If I can't have true love, I have Pornhub...",None,None
23,2021-04-01 03:34:00,"I have stage three cancer and I only have a few months to live. Doctors say it's inoperable. But I'm good I'm just trying to deal... With the fact I just got all you suckas on April fool's day. Not appropriate, but whatever",None,None
24,2021-03-31 22:38:00,No words necessary,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167893416_4387332977946933_5670867299504671647_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=NdSSmvLMujgAX-7l2JE&tn=A_IRvWRbz8W7KGcf&_nc_ht=scontent-lga3-1.xx&tp=14&oh=85828a9b414b1383773936da2c5d0490&oe=60B1168F&manual_redirect=1'],None
25,2021-03-30 09:34:00,"So many women talk a good game but actually have no game. They talk about forever and happily ever after, but don't wanna do shit to keep it. Getting it is the baby steps. Keeping it is being called a committed adult who is truly in love... You all need to get your shit right and quit blaming good guys for where you're falling short... We don't need you....",None,None
26,2021-03-30 02:54:00,"Just wanted to share this again. The second song is one of my all time favorites... Love you Ashley Chadwell

Brian Chadwell
October 8, 2019 at 9:51 PM ·

My bad ass lil brother",None,https://video-lga3-1.xx.fbcdn.net/v/t42.9040-2/10000000_2359781700815263_4004696960706543616_n.mp4?_nc_cat=103&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=Kj0BC07VLU8AX_CA1-d&_nc_ht=video-lga3-1.xx&oh=77f7ddcbc95ddefd11b9c09e2ca94508&oe=608ADDF5
27,2021-03-30 00:29:00,Gotta love the Pitbull life,None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/167211887_197013315220387_4291869282866954520_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=h8uOt43DvyAAX9psvnS&_nc_ht=video-lga3-1.xx&oh=6fd15a41dd6a7f66e48da5fdb7f56bd3&oe=608AE636
28,2021-03-29 06:03:00,"Do they build these for 70 to 100 pound pitbulls?

CHEWY.COM
FRISCO 72-in Faux Fur Cat Tree & Condo, Brown - Chewy.com",None,None
29,2021-03-29 05:23:00,None,"['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/166065643_4378997748780456_3214453771211298168_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=dd9801&efg=eyJpIjoidCJ9&_nc_ohc=qH3RK-SkLs0AX_Z1_yK&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e7973e2321b38c791e6a6e2382f25ef8&oe=60AEA57B&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/166065643_4378997748780456_3214453771211298168_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=dd9801&efg=eyJpIjoidCJ9&_nc_ohc=qH3RK-SkLs0AX_Z1_yK&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e7973e2321b38c791e6a6e2382f25ef8&oe=60AEA57B&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/166065643_4378997748780456_3214453771211298168_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=dd9801&efg=eyJpIjoidCJ9&_nc_ohc=qH3RK-SkLs0AX_Z1_yK&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e7973e2321b38c791e6a6e2382f25ef8&oe=60AEA57B&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/166065643_4378997748780456_3214453771211298168_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=dd9801&efg=eyJpIjoidCJ9&_nc_ohc=qH3RK-SkLs0AX_Z1_yK&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e7973e2321b38c791e6a6e2382f25ef8&oe=60AEA57B&manual_redirect=1']",None
30,2021-03-29 04:35:00,So true,None,None
31,2021-03-29 04:16:00,"Just finished a movie called Captain Fantastic. It's about a family that decides to live off the grid and raise their family on the basic laws of nature and pure love, without outside disruptions. One of my new favorites. Do yourselves a favor and give it a chance.",None,None
32,2021-03-27 02:48:00,So I had a really good night. A lot of college kids out and I tried to make some kinda sense to a few. They were actually really good guys and Sam cried and wouldn't stop hugging me. It was pretty awesome. Thank you Lord for blessing me 🙏,None,None
33,2021-03-25 22:00:00,Jennifer Gosnell . I don't even know where to begin. But I wanna say thank you. You succeeded in shutting my mouthy ass up. Good girl,None,None
34,2021-03-25 20:02:00,I ordered some rings from Vancaro.i never received anything but they charged my card double. Don't fuck up like me,None,None
35,2021-03-24 23:58:00,To all the people reading this. I'm so sorry my efforts aren't as strong as they should be. I handed out $20 to everybody riding the bus. Most just took it and looked away. I don't know where to go from here. I wanna be good but life wants to take that away,None,None
36,2021-03-24 21:16:00,I made friends with the cutest bird today. She jumped on my shoulder and wouldn't go away. Thank you bird for making me feel like somebody,None,None
37,2021-03-24 21:12:00,"Jennifer
Gosnell.i haven't had a phone for a few days. Please call me",None,None
38,2021-03-24 20:59:00,"Matt Butter Barlow . I'm in no ways perfect, but I wanna start a youth crowd. I'll do my best to pay whatever the cost. I just need a good guy watching my backdoor",None,None
39,2021-03-24 20:53:00,"So, I've been without a phone for a few days. I learned that there's more. So much more., I hope you find it.",None,None
40,2021-03-22 19:08:00,"So, my life is going really well, but I wanna wreck it. I dont know whats wrong with me. I just know what is. This life just seems so lack luster. I dont need more. I wanna be more",None,None
41,2021-03-22 17:37:00,"So this is probably not gonna be politically correct, and will probably sound worse than I want it too. But I just wanna say thank you to my darker skinned friends. Whatever your background. Thank you for helping me grow. I love the flavor that all...",None,None
42,2021-03-22 16:51:00,"Sandhills Shooter
March 21 at 11:49 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/163608025_1070414123480754_7167338634691676287_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=9EYJj0mjxU4AX_JKKq4&_nc_ht=scontent-lga3-1.xx&tp=14&oh=7eecd8bb839bc8557578f7c5d9d2fbe4&oe=60B1DF88'],None
43,2021-03-21 21:24:00,"So, I'm ordering supplies now . Will be a week or so to get everything dialed in. Thanks for your patience",None,None
44,2021-03-21 18:12:00,"So, I guess my online shopping should be grounded. Three packages today, only two of which I remember",None,None
45,2021-03-21 17:57:00,Im naked and happy. Keep being jelly,None,None
46,2021-03-21 16:39:00,"Fsensitivity
March 20 at 10:24 AM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/162812072_1491742434535567_4538916181138869309_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=4S0oT8bqX0oAX9Jh9Ep&_nc_oc=AQl9L9tMxgrv3QubkpwnEeCJ_kkHoAYU0WucuiSYoVgi3lWaXfKjOq_ae1n4PlY3fGQ&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e76e830ce7f9d5b999d6808be5a1ec82&oe=60B0A9E6'],None
47,2021-03-21 16:29:00,I need to watch my mouth. Kids can see this. Im sorry,None,None
48,2021-03-21 13:22:00,"I look unhappy in one, but loving life in the other. Don't let perspective change your vision. Fuck you",None,None
49,2021-03-21 12:40:00,I dont have scocial circle because I dont like people. Im trying,None,None
50,2021-03-21 12:33:00,Im dying inside because I feel like I have nothing. But I have everything. I will make it. I dont need your approval,None,None
51,2021-03-21 12:28:00,So I pooped earlier. Said I was unhealthy . Im happy fuck you,None,None
52,2021-03-21 12:18:00,Im doing my best. I donont need your approval I got this thank you fuck you,None,None
53,2021-03-20 21:23:00,"So, I'm thinking about tattooing full time. I just hate ordinary shit. If you want flash there is a place for that.",None,None
54,2021-03-20 20:11:00,"Matt Butter Barlow and mister Kevin Sprinkle. You guys are out there beating each other up, and I'm here crying about a stupid movie. I have some catching up to do... Wish you both the best. Great guys",None,None
55,2021-03-20 19:48:00,"Repeater. I have the best girlfriend ever. If you don't catch it the first time, wait for the stutter. Jennifer Gosnell . My missing piece",None,None
56,2021-03-20 00:06:00,"After three days of no power, and $4000 of repairs, they finally got everything up and running again. Thank God. I was starting to feel like a bat",None,None
57,2021-03-19 19:35:00,"To all of you who love and support. Thank you. To those that hate, fuck you... I got this",None,None
58,2021-03-19 10:14:00,"Too true

Mat Fhuere
March 8 at 8:27 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/159105898_858569868333028_8699025931306454948_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=5elS9nDImi8AX_rgHDd&_nc_ht=scontent-lga3-1.xx&tp=14&oh=f8803ee4846daaed9d7c7dcd9d49f11f&oe=60AF9D14&manual_redirect=1'],None
59,2021-03-19 09:35:00,None,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/162670912_4349902665023298_1950456166893467310_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=hly181IEFLMAX8s6jA2&_nc_ht=scontent-lga3-1.xx&tp=14&oh=27300db98b0a300af94efea702dfe272&oe=60B0FD81&manual_redirect=1'],None
60,2021-03-19 09:22:00,"Jessica Armijo
March 16 at 4:50 PM ·

❤️",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/161362741_10216700824986997_2079830645355282517_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=tzWBKPcihyAAX_GOeRm&_nc_ht=scontent-lga3-1.xx&tp=14&oh=8ad7efbc09b48b773840b1326a978b48&oe=60B1B8D7&manual_redirect=1'],None
61,2021-03-18 17:14:00,"Louben St. Louis‎WORLD WILDLIFE & NATURE GROUP
March 10 at 3:16 PM ·

The Giant Golden-Crowned Flying Fox the biggest bat in the world from the Phillipines. Despite how big and scary they might look they are actually harmless to humans and other animals because they only eat fruit. They can have a wing span of up to 5 feet",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/159134669_266137918438994_2684562236485107681_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=ca434c&efg=eyJpIjoidCJ9&_nc_ohc=QR5lX1e5csAAX-B701x&_nc_ht=scontent-lga3-1.xx&tp=14&oh=0dd0a9942a683296db8f7d049b5be3c3&oe=60B018C9&manual_redirect=1'],None
62,2021-03-18 14:52:00,None,None,None
63,2021-03-18 14:48:00,This is a solid line-up. Love and respect you all,None,None
64,2021-03-18 14:43:00,"Fried chicken, pizza and meatloaf are all better as leftovers. Change my mind",None,None
65,2021-03-17 11:46:00,The best feeling ever is seeing your dogs together. I want that,None,None
66,2021-03-15 17:46:00,"Not bragging, but I have the most amazing girlfriend ever. I love you Jennifer Gosnell",None,None
67,2021-03-14 11:11:00,Pitbull life,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/161067070_4335219263158305_4731329738980364002_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=yYAHGgI2wxcAX8kWrW2&_nc_ht=scontent-lga3-1.xx&tp=14&oh=cc770bc2c6abe08918113abf3ed597b4&oe=60B1D388&manual_redirect=1'],None
68,2021-03-14 10:36:00,"Mikey Cdcr
February 14 at 2:09 AM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/149293205_213196437179646_8738941768870422171_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=YuCYc_29nm4AX-2LZfQ&_nc_ht=scontent-lga3-1.xx&tp=14&oh=fb19bb49008ac807ebb1a3f0c5a92fb1&oe=60B1BC60&manual_redirect=1'],None
69,2021-03-14 05:15:00,I got by bubba back,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/160922621_4334511249895773_1894461151182546299_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=hfN6IVpQ8AQAX_2N0AZ&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e88dd0d58fd220f3c0f00635a51f9128&oe=60B09609&manual_redirect=1'],None
70,2021-03-13 17:51:00,He's been at my feet all day,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/160397490_4333246233355608_7655658343441378208_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=b6AymBbHcBcAX8lyuiM&_nc_ht=scontent-lga3-1.xx&tp=14&oh=e3d7e81564fa6d80a1c1fc31bd0855da&oe=60B0ABFD&manual_redirect=1'],None
71,2021-03-13 17:04:00,Him missed daddy,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/160359699_4333151840031714_9125782626206517163_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=YprRGtz6TOcAX-HUiFV&_nc_ht=scontent-lga3-1.xx&tp=14&oh=bea31165b496f167992a3ad6f1169879&oe=60B23F02&manual_redirect=1'],None
72,2021-03-13 13:33:00,"When you find the right song, but cry like they were supposed to...",None,None
73,2021-03-12 09:38:00,"Sanford And Son Memes
March 11 at 10:24 AM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/159510125_1904106139737588_4474631721454618853_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=EKPqDjYq_E0AX8wJ_V1&tn=_68DsbzV-uR0qPfT&_nc_ht=scontent-lga3-1.xx&tp=14&oh=0da684bacd130fe3f0f95b7d5fe5ce43&oe=60AEEC0F'],None
74,2021-03-11 09:41:00,"Funny

New memes, who dis?
March 10 at 11:08 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/159484366_285451629635186_5825838461817530986_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=wNatWPlk3SEAX9dp3Ot&_nc_oc=AQka3dBzRHFtn5CSh3WEWjZuC10hBAnchjP7swc5qmV1jDVHERlbIEdre1HYXznGIhk&_nc_ht=scontent-lga3-1.xx&tp=14&oh=bc7f22c90b08d45dc8d8638e8c7fcca8&oe=60B05249'],None
75,2021-03-11 05:52:00,"William Hughes
March 5, 2020 at 8:40 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/89254803_3270989932924863_4665192008036384768_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&efg=eyJpIjoidCJ9&_nc_ohc=imW4sdOkZEsAX8OJCqS&_nc_ht=scontent-lga3-1.xx&tp=14&oh=618f7aa1d82ba47f1131ab12060b15c7&oe=60B16E0F&manual_redirect=1'],None
76,2021-03-10 21:30:00,Daddy gets his babies back on his birthday on Saturday. Best gift ever!!!,None,None
77,2021-03-10 12:56:00,"Tom Pasek
December 30, 2020 at 12:28 PM ·

If your wife complains about you not always hitting the toilet, run her through this training exercise!",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/134396648_409170250301908_8601278249093502458_n.mp4?_nc_cat=104&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=543HCBQB1lwAX9CLiJU&_nc_ht=video-lga3-1.xx&oh=dab2af4f6493dd72afc2c00eb7090d28&oe=608AE2BC
78,2021-03-10 12:55:00,"True

Douglas Mudflap Houston
February 27 at 2:28 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/155478405_4241619632534271_3452018115901365754_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=O3L-Wr2DkikAX8gf9zv&tn=-pUjBWUQRVnygN-M&_nc_ht=scontent-lga3-1.xx&tp=14&oh=43cab0f49fda899a6cdc1a31c3f6ab18&oe=60B0BF05&manual_redirect=1'],None
79,2021-03-10 05:28:00,None,"['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/158686468_4323255454354686_1224957024870235004_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=05277f&efg=eyJpIjoidCJ9&_nc_ohc=3dE9lsqFxCkAX9oIdig&_nc_ht=scontent-lga3-1.xx&tp=14&oh=9e33a617707e98ab244dfa783bac93be&oe=60B20B5C&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/158686468_4323255454354686_1224957024870235004_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=05277f&efg=eyJpIjoidCJ9&_nc_ohc=3dE9lsqFxCkAX9oIdig&_nc_ht=scontent-lga3-1.xx&tp=14&oh=9e33a617707e98ab244dfa783bac93be&oe=60B20B5C&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/158686468_4323255454354686_1224957024870235004_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=05277f&efg=eyJpIjoidCJ9&_nc_ohc=3dE9lsqFxCkAX9oIdig&_nc_ht=scontent-lga3-1.xx&tp=14&oh=9e33a617707e98ab244dfa783bac93be&oe=60B20B5C&manual_redirect=1', 'https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/158686468_4323255454354686_1224957024870235004_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=05277f&efg=eyJpIjoidCJ9&_nc_ohc=3dE9lsqFxCkAX9oIdig&_nc_ht=scontent-lga3-1.xx&tp=14&oh=9e33a617707e98ab244dfa783bac93be&oe=60B20B5C&manual_redirect=1']",None
80,2021-03-10 05:05:00,"Finally found my way back to the one I never should have moved away from. Childhood friend, and now the reason I wake up smiling every morning. Thank you Jennifer Gosnell",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/158793054_4323212871025611_6750796276322670428_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=MCSL9JMDuhoAX_5e_ip&_nc_ht=scontent-lga3-1.xx&tp=14&oh=c91317eec98417a870223218cbdc43df&oe=60B1C9C2&manual_redirect=1'],None
81,2021-03-10 00:00:00,None,None,None
